RCC  		复位和时钟控制器
Periph		边缘、外设
ENABLE		使能
DISABLE		失能
Reset		重启
Config		配置
SUCCESS		成功
systick		系统
public		公共
source		资源
set		组、集
priority		优先
group		小组、集团
channel		渠道、路线
preemption	抢占
handler		处理程序
base		基础
struct		结构
perscaler		分频器
counter		计数器
mode		模式
perio		周期
division		分裂
clear		明确
pending		待定
status		状态
remap		重映射
partial		部分的
output		输出
state		状况
polarity		极性
compare		相比、比较
sleepdeep	沉睡
calibration	校准
software		软件
start		开始、启动
conv		转换
cmd		命令
temp		温度
sensor		传感器
lsens		感觉
menory		存储、记忆
buffer		缓冲
size		尺寸
channel		渠道、通道
half		半
word		字
soft		柔软的
firs		第一
